isin,name,macro_class,sector,currency,quantity,avg_cost,avg_cost_local,avg_fx,invested_capital,current_value,current_price,fx_rate_current,pnl,pnl_pct,unrealized_pnl,realized_pnl,dividends_received,total_return,price_effect,fx_effect,weight_on_ptf,asset_sub_type
IT0004176001,Prysmian,Equity,Industrials,EUR,800.0,35.2026,35.2026,1.0,28162.1,114600.0,143.25,1.0,86437.9,3.069299,86437.9,382500.92,0.0,468938.82,86437.9,0.0,0.010367,Stock
IE00B579F325,Oro,Alternative,Precious Metals,EUR,600.0,176.78,176.78,1.0,106068.0,209814.0,349.69,1.0,103746.0,0.978108,103746.0,61896.42,0.0,165642.42,103746.0,0.0,0.01898,Commodity
GB00BJYDH287,Bitcoin,Alternative,Crypto,EUR,28501.0,7.8947,7.8947,1.0,225007.47,371383.48,14.9125,0.8738,146376.01,0.650538,146376.01,221680.92,0.0,368056.93,146376.01,0.0,0.033595,Crypto
IT0005433690,"Btp Tf 0,25% Mz28 Eur",Fixed Income,Gov. Italia,EUR,5200.0,86.14,86.14,1.0,447928.0,499928.0,96.14,1.0,52000.0,0.11609,52000.0,0.0,0.0,52000.0,52000.0,0.0,0.045223,Bond
AT0000A2HLC4,"Austria Tf 0,85% Gn2120 Eur",Fixed Income,Gov. Europa,EUR,11300.0,39.8,39.8,1.0,449740.0,339339.0,30.03,1.0,-110401.0,-0.245477,-110401.0,0.0,0.0,-110401.0,-110401.0,0.0,0.030697,Bond
IE00BNGJJT35,S&P Equal Weight,Equity,US Equity,EUR,5500.0,44.955,44.955,1.0,247252.5,353595.01,64.29,1.0,106342.51,0.430097,106342.51,55011.27,0.0,161353.78,106342.51,0.0,0.031986,Stock
US37954Y8710,Uranio,Alternative,Energy,USD,5525.0,24.9083,27.15,0.917431,137618.12,211744.89,43.86,0.8738,74126.77,0.538641,74126.77,0.0,0.0,74126.77,84699.76,-10572.96,0.019154,Commodity
IE00BM67HK77,Healthcare,Equity,Healthcare,EUR,4690.0,48.3867,48.3867,1.0,226933.5,248898.3,53.07,1.0,21964.8,0.09679,21964.8,8766.63,0.0,30731.43,21964.8,0.0,0.022515,Stock
IE00B53SZB19,Nasdaq,Equity,US Equity,EUR,250.0,954.6707,954.6707,1.0,238667.67,374750.0,1499.0,1.0,136082.33,0.570175,136082.33,68134.04,0.0,204216.37,136082.33,0.0,0.0339,Stock
LU0489337690,Real Estate EU,Equity,European Equity,EUR,7500.0,22.89,22.89,1.0,171675.0,187800.01,25.04,1.0,16125.01,0.093928,16125.01,17356.24,0.0,33481.25,16125.01,0.0,0.016988,Stock
IE00BLNMYC90,SP Equal Weight,Equity,US Equity,EUR,6500.0,80.5002,80.5002,1.0,523251.41,680354.99,104.67,1.0,157103.58,0.300245,157103.58,62253.41,0.0,219356.99,157103.58,0.0,0.061545,Stock
GB00BLD4ZM24,Ethereum,Alternative,Crypto,EUR,655.0,76.34,76.34,1.0,50002.7,30690.02,46.855,1.0,-19312.68,-0.386233,-19312.68,0.0,0.0,-19312.68,-19312.68,0.0,0.002776,Crypto
IE00BQQP9F84,GDX,Alternative,Precious Metals,EUR,1800.0,63.6155,63.6155,1.0,114507.9,140148.0,77.86,1.0,25640.1,0.223916,25640.1,80974.66,0.0,106614.76,25640.1,0.0,0.012678,Commodity
IE00B4KBBD01,Utilities US,Equity,US Equity,EUR,22500.0,9.007,9.007,1.0,202657.5,221602.5,9.849,1.0,18945.0,0.093483,18945.0,95417.0,0.0,114362.0,18945.0,0.0,0.020046,Stock
GB00B15KXQ89,Copper,Alternative,Industrial Metals,EUR,2808.0,35.6,35.6,1.0,99964.8,131681.16,46.895,1.0,31716.36,0.317275,31716.36,0.0,0.0,31716.36,31716.36,0.0,0.011912,Commodity
IE00B4YBJ215,SPY4,Equity,US Equity,EUR,1750.0,86.5472,86.5472,1.0,151457.61,182262.5,104.15,1.0,30804.89,0.20339,30804.89,9188.61,0.0,39993.5,30804.89,0.0,0.016487,Stock
